tender_no,tender_description,agency,award_date,tender_detail_status,supplier_name,awarded_amt
BCA000ETT16000013,"OVERALL EVENT MANAGEMENT, COORDINATION AND EXECUTION FOR OPENING CEREMONY OF BCAA SKYLAB AND BCA ACADEMIC TOWER ON 20 JULY 2016",Building and Construction Authority,18/5/2016,Awarded to Suppliers,TRICOM EVENTS PRIVATE LIMITED,113209
BCA000ETT16000014,PROVISION OF TEMPORARY MANPOWER TO BUILDING AND CONSTRUCTION AUTHORITY FOR THE PERIOD 1 JUNE 2016 TO 31 MAY 2018,Building and Construction Authority,29/6/2016,Awarded to Suppliers,BGC Group Pte. Ltd.,188.65
BCA000ETT16000014,PROVISION OF TEMPORARY MANPOWER TO BUILDING AND CONSTRUCTION AUTHORITY FOR THE PERIOD 1 JUNE 2016 TO 31 MAY 2018,Building and Construction Authority,29/6/2016,Awarded to Suppliers,Business Edge Personnel Services Pte Ltd,146.18
BCA000ETT16000014,PROVISION OF TEMPORARY MANPOWER TO BUILDING AND CONSTRUCTION AUTHORITY FOR THE PERIOD 1 JUNE 2016 TO 31 MAY 2018,Building and Construction Authority,29/6/2016,Awarded to Suppliers,CAPITA PTE. LTD.,340.9
BCA000ETT16000014,PROVISION OF TEMPORARY MANPOWER TO BUILDING AND CONSTRUCTION AUTHORITY FOR THE PERIOD 1 JUNE 2016 TO 31 MAY 2018,Building and Construction Authority,29/6/2016,Awarded to Suppliers,ELITEZ PTE. LTD.,247.5
BCA000ETT16000014,PROVISION OF TEMPORARY MANPOWER TO BUILDING AND CONSTRUCTION AUTHORITY FOR THE PERIOD 1 JUNE 2016 TO 31 MAY 2018,Building and Construction Authority,29/6/2016,Awarded to Suppliers,GATES PCM CONSTRUCTION LTD.,313.69
BCA000ETT16000014,PROVISION OF TEMPORARY MANPOWER TO BUILDING AND CONSTRUCTION AUTHORITY FOR THE PERIOD 1 JUNE 2016 TO 31 MAY 2018,Building and Construction Authority,29/6/2016,Awarded to Suppliers,KELLY SERVICES (SINGAPORE) PTE. LTD.,219
BCA000ETT16000014,PROVISION OF TEMPORARY MANPOWER TO BUILDING AND CONSTRUCTION AUTHORITY FOR THE PERIOD 1 JUNE 2016 TO 31 MAY 2018,Building and Construction Authority,29/6/2016,Awarded to Suppliers,RMA CONTRACTS PTE. LTD.,235.36
BCA000ETT16000014,PROVISION OF TEMPORARY MANPOWER TO BUILDING AND CONSTRUCTION AUTHORITY FOR THE PERIOD 1 JUNE 2016 TO 31 MAY 2018,Building and Construction Authority,29/6/2016,Awarded to Suppliers,Recruit Express Pte Ltd,197.3
BCA000ETT16000014,PROVISION OF TEMPORARY MANPOWER TO BUILDING AND CONSTRUCTION AUTHORITY FOR THE PERIOD 1 JUNE 2016 TO 31 MAY 2018,Building and Construction Authority,29/6/2016,Awarded to Suppliers,SCIENTEC CONSULTING PTE. LTD.,215.9
BCA000ETT16000014,PROVISION OF TEMPORARY MANPOWER TO BUILDING AND CONSTRUCTION AUTHORITY FOR THE PERIOD 1 JUNE 2016 TO 31 MAY 2018,Building and Construction Authority,29/6/2016,Awarded to Suppliers,SKILLSFORCE MANAGEMENT CONSULTANCY PTE LTD,248.49
BCA000ETT16000014,PROVISION OF TEMPORARY MANPOWER TO BUILDING AND CONSTRUCTION AUTHORITY FOR THE PERIOD 1 JUNE 2016 TO 31 MAY 2018,Building and Construction Authority,29/6/2016,Awarded to Suppliers,TRANSCENDENT BUSINESS SERVICES PTE. LTD.,390.52
BCA000ETT16000015,MARKET RESEARCH SERVICES TO CONDUCT PUBLIC PERCEPTION SURVEY ON BCA GREEN MARK,Building and Construction Authority,1/6/2016,Awarded to Suppliers,FROST & SULLIVAN (SINGAPORE) PTE LTD,172800
BCA000ETT16000017,"Supply, Delivery, Commissioning and Testing of one (1) unit New Telescopic Handler with five (5) years of servicing and maintenance and Trade-in of one (1) unit of existing telescopic handler (JCB model 520-120) at BCA Academy",Building and Construction Authority,4/8/2016,Awarded to No Suppliers,Unknown,0
BCA000ETT16000018,Term Contract for comprehensive maintenance of horticulture works at BCA Academy,Building and Construction Authority,20/6/2016,Awarded to Suppliers,TROPIC PLANNERS & LANDSCAPE PTE. LTD.,235200
BCA000ETT16000019,Fixed Assets Management Services Using the Barcode System,Building and Construction Authority,11/8/2016,Awarded to Suppliers,ST INTEGRATED ENGINEERING PTE. LTD.,47000
BCA000ETT16000022,Engagement of International PR Agency for Singapore Green Building Week (SGBW) 2016,Building and Construction Authority,4/8/2016,Awarded to Suppliers,THE HOFFMAN AGENCY ASIA PACIFIC PTE LTD,141440
BCA000ETT16000023,DESIGN AND CONSTRUCTION OF BCA PAVILION AT BEX ASIA 2016 (07 - 09 SEP) AND SINGAPORE PAVILION AT US GREENBUILD EXPO 2016 (05 06 OCT),Building and Construction Authority,1/9/2016,Awarded to Suppliers,Pico Art International Pte Ltd,280000
BCA000ETT16000024,Term contract for conservancy & cleaning works at BCA Academy,Building and Construction Authority,23/8/2016,Awarded to Suppliers,ABSOLUTE MAINTENANCE SERVICES PTE LTD,2462700
BCA000ETT16000025,Term Contract for the maintenance & improvement to existing Electrical Installation in BCA Academy,Building and Construction Authority,24/8/2016,Awarded to Suppliers,ELIKTRICAL ENGINEERING PTE. LTD.,150000
BCA000ETT16000026,"TERM CONTRACT FOR THE INSPECTION, MAINTENANCE AND POSITIONAL SURVEY OF MOORING BUOYS OFF THE COAST OF PULAU PUNGGOL BARAT",Building and Construction Authority,19/8/2016,Awarded to Suppliers,HSL Constructor Pte Ltd,3750
BCA000ETT16000026,"TERM CONTRACT FOR THE INSPECTION, MAINTENANCE AND POSITIONAL SURVEY OF MOORING BUOYS OFF THE COAST OF PULAU PUNGGOL BARAT",Building and Construction Authority,19/8/2016,Awarded to Suppliers,IMD CONTRACTORS PTE. LTD.,21450
BCA000ETT16000029,APPOINTMENT OF AN EXHIBITION SPECIALIST TO DESIGN AND CONSTRUCT BCA PAVILION AND AGENCIES PAVILION (OPTIONAL) AT THE BUILDTECH ASIA 2016 EXHIBITION,Building and Construction Authority,13/10/2016,Awarded to Suppliers,Pico Art International Pte Ltd,358950
BCA000ETT16000032,"CONCEPTUALISATION, DEVELOPMENT AND EVENT MANAGEMENT FOR PROJECT BUILD EXHIBITION 2016",Building and Construction Authority,23/9/2016,Awarded to Suppliers,Kingsmen Exhibits Pte Ltd,177670
BCA000ETT16000034,DEVELOPMENT AND MANAGEMENT OF PROJECT BUILD EXHIBITION 2016 PUBLICITY CAMPAIGN,Building and Construction Authority,29/9/2016,Awarded to Suppliers,ATOMZ I! PTE. LTD.,141577
BCA000ETT16000036,REPAIR AND RESTORATION OF PULAU PUNGGOL AGGREGATE TERMINAL AND TUAS AGGREGATE TERMINAL,Building and Construction Authority,28/12/2016,Awarded to Suppliers,SING TEC DEVELOPMENT PTE. LTD.,11000000
BCA000ETT16000039,PROVISION OF MEDICAL SERVICES TO BUILDING AND CONSTRUCTION AUTHORITY FOR THE PERIOD 1 JAN 2017 TO 31 DEC 2019,Building and Construction Authority,19/12/2016,Awarded to Suppliers,PARKWAY SHENTON PTE LTD,312240
BCA000ETT16000045,Insurance Coverage for Building and Construction Authority for a period of two (2) years commencing from 1 Dec 2016 to 30 Nov 2018.,Building and Construction Authority,23/12/2016,Awarded to Suppliers,KIB INSURANCE BROKERS (S) PTE LTD,110700.98
CAA000ETT15000049,"Design, development and implementation services of software system to administer and manage courses and programmes",Civil Aviation Authority of Singapore,29/4/2016,Awarded to Suppliers,NCS PTE. LTD.,1835168
