tender_no,tender_description,agency,award_date,tender_detail_status,supplier_name,awarded_amt
BCA000ETT16000014,PROVISION OF TEMPORARY MANPOWER TO BUILDING AND CONSTRUCTION AUTHORITY FOR THE PERIOD 1 JUNE 2016 TO 31 MAY 2018,Building and Construction Authority,29/6/2016,Awarded to Suppliers,BGC Group Pte. Ltd.,188.65
BCA000ETT16000014,PROVISION OF TEMPORARY MANPOWER TO BUILDING AND CONSTRUCTION AUTHORITY FOR THE PERIOD 1 JUNE 2016 TO 31 MAY 2018,Building and Construction Authority,29/6/2016,Awarded to Suppliers,Business Edge Personnel Services Pte Ltd,146.18
BCA000ETT16000014,PROVISION OF TEMPORARY MANPOWER TO BUILDING AND CONSTRUCTION AUTHORITY FOR THE PERIOD 1 JUNE 2016 TO 31 MAY 2018,Building and Construction Authority,29/6/2016,Awarded to Suppliers,CAPITA PTE. LTD.,340.9
BCA000ETT16000014,PROVISION OF TEMPORARY MANPOWER TO BUILDING AND CONSTRUCTION AUTHORITY FOR THE PERIOD 1 JUNE 2016 TO 31 MAY 2018,Building and Construction Authority,29/6/2016,Awarded to Suppliers,ELITEZ PTE. LTD.,247.5
BCA000ETT16000014,PROVISION OF TEMPORARY MANPOWER TO BUILDING AND CONSTRUCTION AUTHORITY FOR THE PERIOD 1 JUNE 2016 TO 31 MAY 2018,Building and Construction Authority,29/6/2016,Awarded to Suppliers,GATES PCM CONSTRUCTION LTD.,313.69
BCA000ETT16000014,PROVISION OF TEMPORARY MANPOWER TO BUILDING AND CONSTRUCTION AUTHORITY FOR THE PERIOD 1 JUNE 2016 TO 31 MAY 2018,Building and Construction Authority,29/6/2016,Awarded to Suppliers,KELLY SERVICES (SINGAPORE) PTE. LTD.,219
BCA000ETT16000014,PROVISION OF TEMPORARY MANPOWER TO BUILDING AND CONSTRUCTION AUTHORITY FOR THE PERIOD 1 JUNE 2016 TO 31 MAY 2018,Building and Construction Authority,29/6/2016,Awarded to Suppliers,RMA CONTRACTS PTE. LTD.,235.36
BCA000ETT16000014,PROVISION OF TEMPORARY MANPOWER TO BUILDING AND CONSTRUCTION AUTHORITY FOR THE PERIOD 1 JUNE 2016 TO 31 MAY 2018,Building and Construction Authority,29/6/2016,Awarded to Suppliers,Recruit Express Pte Ltd,197.3
BCA000ETT16000014,PROVISION OF TEMPORARY MANPOWER TO BUILDING AND CONSTRUCTION AUTHORITY FOR THE PERIOD 1 JUNE 2016 TO 31 MAY 2018,Building and Construction Authority,29/6/2016,Awarded to Suppliers,SCIENTEC CONSULTING PTE. LTD.,215.9
BCA000ETT16000014,PROVISION OF TEMPORARY MANPOWER TO BUILDING AND CONSTRUCTION AUTHORITY FOR THE PERIOD 1 JUNE 2016 TO 31 MAY 2018,Building and Construction Authority,29/6/2016,Awarded to Suppliers,SKILLSFORCE MANAGEMENT CONSULTANCY PTE LTD,248.49
BCA000ETT16000014,PROVISION OF TEMPORARY MANPOWER TO BUILDING AND CONSTRUCTION AUTHORITY FOR THE PERIOD 1 JUNE 2016 TO 31 MAY 2018,Building and Construction Authority,29/6/2016,Awarded to Suppliers,TRANSCENDENT BUSINESS SERVICES PTE. LTD.,390.52
BCA000ETT16000015,MARKET RESEARCH SERVICES TO CONDUCT PUBLIC PERCEPTION SURVEY ON BCA GREEN MARK,Building and Construction Authority,1/6/2016,Awarded to Suppliers,FROST & SULLIVAN (SINGAPORE) PTE LTD,172800
BCA000ETT16000017,"Supply, Delivery, Commissioning and Testing of one (1) unit New Telescopic Handler with five (5) years of servicing and maintenance and Trade-in of one (1) unit of existing telescopic handler (JCB model 520-120) at BCA Academy",Building and Construction Authority,4/8/2016,Awarded to No Suppliers,Unknown,0
BCA000ETT16000018,Term Contract for comprehensive maintenance of horticulture works at BCA Academy,Building and Construction Authority,20/6/2016,Awarded to Suppliers,TROPIC PLANNERS & LANDSCAPE PTE. LTD.,235200
BCA000ETT16000019,Fixed Assets Management Services Using the Barcode System,Building and Construction Authority,11/8/2016,Awarded to Suppliers,ST INTEGRATED ENGINEERING PTE. LTD.,47000
BCA000ETT16000022,Engagement of International PR Agency for Singapore Green Building Week (SGBW) 2016,Building and Construction Authority,4/8/2016,Awarded to Suppliers,THE HOFFMAN AGENCY ASIA PACIFIC PTE LTD,141440
BCA000ETT16000023,DESIGN AND CONSTRUCTION OF BCA PAVILION AT BEX ASIA 2016 (07 - 09 SEP) AND SINGAPORE PAVILION AT US GREENBUILD EXPO 2016 (05 06 OCT),Building and Construction Authority,1/9/2016,Awarded to Suppliers,Pico Art International Pte Ltd,280000
BCA000ETT16000024,Term contract for conservancy & cleaning works at BCA Academy,Building and Construction Authority,23/8/2016,Awarded to Suppliers,ABSOLUTE MAINTENANCE SERVICES PTE LTD,2462700
BCA000ETT16000025,Term Contract for the maintenance & improvement to existing Electrical Installation in BCA Academy,Building and Construction Authority,24/8/2016,Awarded to Suppliers,ELIKTRICAL ENGINEERING PTE. LTD.,150000
BCA000ETT16000026,"TERM CONTRACT FOR THE INSPECTION, MAINTENANCE AND POSITIONAL SURVEY OF MOORING BUOYS OFF THE COAST OF PULAU PUNGGOL BARAT",Building and Construction Authority,19/8/2016,Awarded to Suppliers,HSL Constructor Pte Ltd,3750
BCA000ETT16000026,"TERM CONTRACT FOR THE INSPECTION, MAINTENANCE AND POSITIONAL SURVEY OF MOORING BUOYS OFF THE COAST OF PULAU PUNGGOL BARAT",Building and Construction Authority,19/8/2016,Awarded to Suppliers,IMD CONTRACTORS PTE. LTD.,21450
BCA000ETT16000029,APPOINTMENT OF AN EXHIBITION SPECIALIST TO DESIGN AND CONSTRUCT BCA PAVILION AND AGENCIES PAVILION (OPTIONAL) AT THE BUILDTECH ASIA 2016 EXHIBITION,Building and Construction Authority,13/10/2016,Awarded to Suppliers,Pico Art International Pte Ltd,358950
BCA000ETT16000032,"CONCEPTUALISATION, DEVELOPMENT AND EVENT MANAGEMENT FOR PROJECT BUILD EXHIBITION 2016",Building and Construction Authority,23/9/2016,Awarded to Suppliers,Kingsmen Exhibits Pte Ltd,177670
BCA000ETT16000034,DEVELOPMENT AND MANAGEMENT OF PROJECT BUILD EXHIBITION 2016 PUBLICITY CAMPAIGN,Building and Construction Authority,29/9/2016,Awarded to Suppliers,ATOMZ I! PTE. LTD.,141577
BCA000ETT16000036,REPAIR AND RESTORATION OF PULAU PUNGGOL AGGREGATE TERMINAL AND TUAS AGGREGATE TERMINAL,Building and Construction Authority,28/12/2016,Awarded to Suppliers,SING TEC DEVELOPMENT PTE. LTD.,11000000
BCA000ETT16000039,PROVISION OF MEDICAL SERVICES TO BUILDING AND CONSTRUCTION AUTHORITY FOR THE PERIOD 1 JAN 2017 TO 31 DEC 2019,Building and Construction Authority,19/12/2016,Awarded to Suppliers,PARKWAY SHENTON PTE LTD,312240
BCA000ETT16000045,Insurance Coverage for Building and Construction Authority for a period of two (2) years commencing from 1 Dec 2016 to 30 Nov 2018.,Building and Construction Authority,23/12/2016,Awarded to Suppliers,KIB INSURANCE BROKERS (S) PTE LTD,110700.98
CAA000ETT15000049,"Design, development and implementation services of software system to administer and manage courses and programmes",Civil Aviation Authority of Singapore,29/4/2016,Awarded to Suppliers,NCS PTE. LTD.,1835168
CAA000ETT15000066,Provision of consultancy services to design a passenger centralised data management system,Civil Aviation Authority of Singapore,1/4/2016,Awarded to Suppliers,SITA INFORMATION NETWORKING COMPUTING (ASIA PACIFIC) PTE LTD,390000
CAA000ETT15000080,Construction Of Equipment Buildings And Facilities At Singapore Changi Airport,Civil Aviation Authority of Singapore,18/5/2016,Awarded to Suppliers,SCB BUILDING CONSTRUCTION PTE. LTD.,29380000
CAA000ETT16000004,Replacement of Advanced Surface Movement Guidance and Control System and Multilateration System,Civil Aviation Authority of Singapore,5/12/2016,Awarded to Suppliers,SAAB TECHNOLOGIES B.V.,17994144
CAA000ETT16000005,Provision of Electronic Key Management System,Civil Aviation Authority of Singapore,25/4/2016,Awarded to Suppliers,Coselec Pte Ltd,120800
CAA000ETT16000007,Provision of instrument flight procedures design system and related maintenance,Civil Aviation Authority of Singapore,13/10/2016,Awarded to Suppliers,NCS COMMUNICATIONS ENGINEERING PTE. LTD.,667986
CAA000ETT16000013,Provision and maintenance of a computer-based examination system for a period of 5 years,Civil Aviation Authority of Singapore,3/5/2016,Awarded to Suppliers,ASPEQ LIMITED,3397000
CAA000ETT16000014,Replacement of UH1H Helicopter Simulator at Selarang Fire Training Ground,Civil Aviation Authority of Singapore,31/5/2016,Awarded to Suppliers,HEXCEL SOLUTIONS PTE. LTD.,148930
CAA000ETT16000015,Provision of Leadership Development Programmes for Officers in the Civil Aviation Authority of Singapore,Civil Aviation Authority of Singapore,30/6/2016,Awarded to Suppliers,SEQUOIA GROUP PTE. LTD.,301000
CAA000ETT16000017,Implementation of Medium-altitude Earth Orbit Search and Rescue (MEOSAR) Ground System,Civil Aviation Authority of Singapore,23/12/2016,Awarded to Suppliers,"MCMURDO, INC.",6183366
CAA000ETT16000018,Supply and delivery of two motor vehicles inclusive of valid 10-year COE,Civil Aviation Authority of Singapore,7/6/2016,Awarded to Suppliers,CYCLE & CARRIAGE AUTOMOTIVE PTE LIMITED,244357.28
CAA000ETT16000019,Provision of Vehicle Crash Barrier System,Civil Aviation Authority of Singapore,20/6/2016,Awarded to Suppliers,GLASS@WORX PTE. LTD.,185000
CAA000ETT16000020,Replacement of Fan Coil Units and Variable Refrigerant Volume Air-Conditioning Systems,Civil Aviation Authority of Singapore,1/7/2016,Awarded to Suppliers,S&P SYSTEM SERVICES PTE. LTD.,834100
CAA000ETT16000021,Upgrading Works And Term Contract For Adhoc Minor Works To CAAS Premises And Properties In Singapore And Offshore Islands,Civil Aviation Authority of Singapore,20/7/2016,Awarded to Suppliers,CHUA YEW SENG CONSTRUCTION & ELECTRICAL ENGRG PTE LTD,454750
CAA000ETT16000022,Provision Of Infra-Red Thermographic Scanning Services,Civil Aviation Authority of Singapore,27/6/2016,Awarded to Suppliers,Setsco Services Pte Ltd,84960
CAA000ETT16000023,Provision of enterprise - Safety Oversight Management System (eSOMs) with maintenance services,Civil Aviation Authority of Singapore,29/12/2016,Awarded to Suppliers,NCS PTE. LTD.,5500767.37
CAA000ETT16000025,Supply and Delivery of Two 7-Seater Vehicles Inclusive of Valid 10 Years COE,Civil Aviation Authority of Singapore,7/7/2016,Awarded to Suppliers,BORNEO MOTORS (SINGAPORE) PTE. LTD.,230000
CAA000ETT16000026,Appointment of Insurance Broker for Group Personal Accident (GPA) Insurance Policy for CAAS,Civil Aviation Authority of Singapore,30/6/2016,Awarded to Suppliers,ACCLAIM INSURANCE BROKERS PTE. LTD.,53290.76
CAA000ETT16000027,Replacement of air-conditioning units and fan system,Civil Aviation Authority of Singapore,8/9/2016,Awarded to Suppliers,JA ENGINEERING AND TRADING PTE. LTD.,172000
CAA000ETT16000028,"Engagement of entertainment artiste for CAAS event at Montreal, Canada",Civil Aviation Authority of Singapore,10/8/2016,Awarded to Suppliers,SONY MUSIC ENTERTAINMENT SINGAPORE (PTE.) LTD.,69000
CAA000ETT16000029,Provision of Photography Services for CAAS,Civil Aviation Authority of Singapore,22/8/2016,Awarded to Suppliers,FIREFLY PHOTOGRAPHY PTE. LTD.,3900
CAA000ETT16000029,Provision of Photography Services for CAAS,Civil Aviation Authority of Singapore,22/8/2016,Awarded to Suppliers,Howie Photography,5020
CAA000ETT16000031,Purchase of Media Space in The Straits Times,Civil Aviation Authority of Singapore,30/6/2016,Awarded to Suppliers,LINS ADVERTISING & MARKETING PTE LTD,104008.52
CAA000ETT16000032,Supply and delivery of two vehicles inclusive of valid 10-year COE,Civil Aviation Authority of Singapore,10/10/2016,Awarded to Suppliers,VANTAGE AUTOMOTIVE LIMITED,140625.84
CAA000ETT16000035,Supply and Installation of Air Traffic Control Consoles,Civil Aviation Authority of Singapore,26/9/2016,Awarded to Suppliers,DATUMSTRUCT (CFS) PTE. LTD.,159500
CAA000ETT16000037,Supply of Card Access Control System and Closed Circuit TV (CCTV) System,Civil Aviation Authority of Singapore,19/9/2016,Awarded to Suppliers,CERTIS TECHNOLOGY (SINGAPORE) PTE. LTD.,199000
CAA000ETT16000038,Provision of Maintenance and Support Services for Computer Hardware and IT Network Equipment for a period of two years,Civil Aviation Authority of Singapore,1/9/2016,Awarded to Suppliers,NCS PTE. LTD.,533263.97
CAA000ETT16000039,Replacement of Mechanical & Electrical Systems at CAAS Premises,Civil Aviation Authority of Singapore,24/10/2016,Awarded to Suppliers,KANDENKO CO LTD,447500
CAA000ETT16000040,Supply and delivery of Mock-up Cargo and Related Services for Aviation Challenge 2,Civil Aviation Authority of Singapore,1/11/2016,Awarded to Suppliers,AIRPORT EQUIPMENT SERVICES PTE LTD,150300
CAA000ETT16000044,Consultancy study for the review of aviation security frameworks for air navigation services,Civil Aviation Authority of Singapore,23/11/2016,Awarded to Suppliers,ARUP SINGAPORE PRIVATE LIMITED,490000
CAA000ETT16000045,Provision of Aviation and Public Liability Insurance Broking Services,Civil Aviation Authority of Singapore,27/10/2016,Awarded to Suppliers,Jardine Lloyd Thompson Private Limited,75000
CAA000ETT16000046,Provision of consultancy services on airport users' requirements and satisfaction with facilities and services at Changi Airport,Civil Aviation Authority of Singapore,10/11/2016,Awarded to No Suppliers,Unknown,0
CAA000ETT16000051,Provision of Consultancy Services for Job Evaluation Exercise,Civil Aviation Authority of Singapore,23/11/2016,Awarded to Suppliers,MERCER (SINGAPORE) PTE. LTD.,70980
CAA000ETT16000057,Provision of Offshore Accommodation Vessel for Workshop on Underwater Search of Flight Recorders,Civil Aviation Authority of Singapore,24/11/2016,Awarded to No Suppliers,Unknown,0
CAA000ETT16000060,Provision of consultancy services for the impact assessment of Single Process implementation at Singapore Changi Airport,Civil Aviation Authority of Singapore,29/12/2016,Awarded to Suppliers,SEABURY CARGO ADVISORY B.V.,260000
CAA000ETT16000061,Supply and delivery of one utility lorry inclusive of valid 10-year COE,Civil Aviation Authority of Singapore,5/12/2016,Awarded to Suppliers,FOTON MOTOR AUV (SINGAPORE) PTE. LTD.,113099
CCS000ETT16000003,Provision and Installation of New Access Card Reader System and Comprehensive Maintenance for Security System,Competition and Consumer Commission of Singapore (CCCS),15/4/2016,Awarded to Suppliers,CERTIS TECHNOLOGY (SINGAPORE) PTE. LTD.,84350
CCS000ETT16000006,Provision of Renovation Works of Office Rooms For Competition Commission Of Singapore (CCS),Competition and Consumer Commission of Singapore (CCCS),17/8/2016,Awarded to Suppliers,Aspacio Design Associates Pte Ltd,107769
CCS000ETT16000007,"Provision of Consultancy Services on ""Competition Policy, E-Commerce and Big Data in ASEAN""",Competition and Consumer Commission of Singapore (CCCS),21/12/2016,Awarded to Suppliers,PRICEWATERHOUSECOOPERS CONSULTING (SINGAPORE) PTE. LTD.,393600
CCY000ETT16000001,"Invitation to tender for the supply, design, development, delivery, installation, testing, training, and commissioning of a fully operational Record Management System with an option for maintenance.","Ministry of Culture, Community and Youth - Ministry Headquarter",7/11/2016,Awarded to Suppliers,ATOS INFORMATION TECHNOLOGY (SINGAPORE) PTE. LTD.,2025782.67
CCY000ETT16000002,"Request for Proposal (""RFP"") for the conceptualization, development and implementation of an Integrated Digital Communications Plan to strengthen the Singapore spirit and connection to Singapore.","Ministry of Culture, Community and Youth - Ministry Headquarter",1/9/2016,Awarded to Suppliers,OGILVY SINGAPORE PTE. LTD.,2499098
CCY000ETT16000003,"Invitation to Tender (""ITT"") for the supply and delivery of project-based grant claim verification and certification services.","Ministry of Culture, Community and Youth - Ministry Headquarter",14/9/2016,Awarded to Suppliers,PRICEWATERHOUSECOOPERS LLP,328500
CCY000ETT16000004,"Proposed renovation works to 2nd & 3rd storeys for the Ministry of Culture, Community and Youth (MCCY) located at 140 Hill Street, Old Hill Street Police Station, Singapore 179369.","Ministry of Culture, Community and Youth - Ministry Headquarter",15/9/2016,Awarded to Suppliers,CONCEPT ELEMENTS PTE. LTD.,385140
CCY000ETT16000008,Provision of Business Process Reengineer (BPR) Consultancy Services,"Ministry of Culture, Community and Youth - Ministry Headquarter",8/12/2016,Awarded to Suppliers,DELOITTE CONSULTING PTE. LTD.,321000
CCY000ETT16000009,"REQUEST FOR PROPOSAL (RFP) FOR THE CONCEPTUALISATION, DEVELOPMENT AND IMPLEMENTATION OF INTEGRATED COMMUNICATIONS CAMPAIGNS TO STRENGTHEN THE SINGAPORE SPIRIT","Ministry of Culture, Community and Youth - Ministry Headquarter",9/11/2016,Awarded to Suppliers,DDB Worldwide Pte Ltd,2493900
